Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
jiamu,"[[1.272051891244711, 1.8143112639382613], [0.6824325185657932, 0.7985794905767418], [0.9678596664151656, 1.4247635113847241]]",1.043405320649313,2,"[[1.102523917050241, 1.8811530195088828], [0.6485406350624932, 0.8812467435176112], [0.7540057153159898, 1.5126140706918965]]",1.4866776536229773,4,"[[0.7943760547383676, 1.6529409888706006], [0.5021200751574383, 0.5312825444353452], [0.5155195435648737, 1.4896313468532176]]",1.0290621386352536,6,"[[1.9520766456716847, 1.4799171015212802], [0.7829155583804857, 0.8288949483225267], [1.617182038995617, 1.038315503832867]]",0.8933016094146885,6,"[[1.3047680700618702, 1.9477208428852288], [0.7845160558763542, 0.7933346357249179], [0.8730689600449729, 1.645928159166942]]",1.4024357845747704,14,"[[1.8129515406961485, 2.287021993096545], [0.5780944826595849, 0.6376197175708493], [1.600497187083384, 2.0953451938228254]]",1.3310118393584491,16,"[-0.6500138384215326, 1.0739165880974169e-257]","[-0.5734181748349365, 1.0720337786826658e-187]"
julianne,"[[3.5521553204868663, 2.125631713698558], [1.4194314829549102, 1.396778671724409], [3.102896020585889, 1.3475231955717282]]",1.1799980943008685,1,"[[3.2538234776668657, 1.9955803295342431], [1.2112079794847481, 1.1011824594267052], [2.9129681576181072, 1.2822442695903686]]",1.5754681997865376,4,"[[1.6483978269045856, 2.378547315794757], [0.8051505537080096, 1.3205815516751183], [1.293257050197323, 1.7921168943040071]]",1.4357266883732227,5,"[[3.2679038809778604, 2.0881129413896176], [1.2212562134193243, 1.1545106233818956], [2.8517385011476826, 1.5313059180930335]]",1.2420929573298938,7,"[[1.83713237702093, 3.0598894519188624], [0.9374764617974254, 1.256597196350046], [1.36726553678314, 2.5835564909586894]]",1.6726963765508343,14,"[[4.694436205488729, 2.6921762521228114], [2.0096748370149546, 1.8173899234857267], [3.984362548888077, 1.7984417840118088]]",1.448232689874669,0,"[-0.16913222164376976, 2.511045393398027e-15]","[-0.6946471862914287, 4.685133190389e-311]"
kaiwen,"[[1.4481380710902059, 1.2738945559175732], [0.7422780823091515, 0.403530908129024], [1.0513032078159383, 1.1345168763064064]]",0.7127310138863804,2,"[[1.6214869100098837, 0.9751963990725329], [0.5814505854718169, 0.3666010760805602], [1.4510119038718863, 0.8348709095150783]]",0.7108356226057321,0,"[[0.7980254642001389, 0.6264810865328527], [0.36429298708230584, 0.39417483211776577], [0.6446632901727282, 0.3878267639926219]]",0.37545618534958203,4,"[[1.6976788349815235, 1.3565666705292918], [1.072323963661701, 0.838169417307506], [1.1185153476115277, 0.8899730877445411]]",0.720118825737604,1,"[[0.9418857371117237, 1.0126524891247766], [0.5739302323624044, 0.5999914292661982], [0.6243310569654805, 0.6871536924045748]]",0.6871990398307025,12,"[[2.049491921194316, 1.4609085573983938], [0.826800130472779, 0.653830849251468], [1.70474711301773, 1.1348286606800375]]",0.8007124397686446,0,"[0.17774778691829213, 8.470531248261497e-17]","[0.052578567816262176, 0.014506382495290413]"
kat,"[[1.7946520203522875, 1.5361562703788452], [0.7440453725710345, 0.6230427073629843], [1.4644475377564583, 1.302428311566117]]",0.9278448963715216,6,"[[1.7799205015740935, 1.6536429613319108], [0.955672499274274, 1.007331822299766], [1.3224774030889412, 1.082945192324055]]",1.30616198395059,1,"[[1.1230389814741153, 1.283807357764801], [0.6535728168168988, 0.6913185373256084], [0.7850096718338925, 0.984588548727896]]",0.9188674791929784,6,"[[2.3657790045106353, 2.224460929581949], [1.3815218697632528, 1.1733991494212164], [1.714055323483167, 1.680595373168149]]",1.443961937331727,11,"[[1.760242985270197, 2.2024599186762304], [1.08460621174262, 1.1543816535759375], [1.157842393608282, 1.640977919539556]]",1.684866987074767,13,"[[2.0409641356573105, 2.1914733514825153], [1.1836185479412489, 0.9705178491622338], [1.3263552204333122, 1.793680069235401]]",1.2695164470608398,2,"[0.27315149091060337, 3.1150028985464496e-38]","[-0.051131965046561124, 0.0175263217814011]"
law,"[[2.2920920664869913, 1.4793045089779029], [1.1952047866089057, 0.7966078965185837], [1.7024023342818821, 1.0603638742537043]]",0.8214891730895544,0,"[[2.146911873095471, 1.7974583115617022], [0.8158430711196514, 0.8989779540376536], [1.8412994867857515, 1.400144435657498]]",1.364633856494571,0,"[[1.5814536212697634, 2.277999972748356], [0.9290459364270711, 1.184820718377658], [1.0804185126595482, 1.7611655672034294]]",1.2699045699367588,3,"[[2.4213810396104014, 2.374809026208129], [1.285111842742312, 1.2481896392004685], [1.7629787590599122, 1.7310032716196142]]",1.2924399031819824,2,"[[2.1272529674589515, 2.5823452872512567], [1.3631304241530287, 1.4906191561830793], [1.3538779240394585, 1.8207571789457568]]",1.7306921763860081,12,"[[3.82248257224151, 3.639336518629018], [1.1646866369512476, 1.222099897595647], [3.4890501781238967, 3.2277795732774655]]",2.050316931135425,0,"[-0.6039877966230776, 6.208349390645433e-215]","[-0.6275491788894851, 7.338463799352907e-237]"
mansee,"[[1.216509746681998, 1.4918763933053019], [0.5187177200626167, 0.44289270476615306], [1.0267043863840477, 1.3277036303555996]]",0.8654042958562776,3,"[[1.9863660389670514, 2.359368692757276], [1.5421646876655453, 1.582228989301777], [1.0183825226337682, 1.5083362516209637]]",1.8149705599794295,1,"[[1.603042734883449, 1.46994995536789], [0.9329673569222682, 0.6218027479902941], [1.1064332460580684, 1.1724961233451612]]",0.9975909427933787,5,"[[2.4778631951039936, 1.8273097739023747], [1.2412313027440165, 1.0085595917469268], [1.8588697888809769, 1.2667831834086514]]",1.0759692876599372,6,"[[2.5155399798473157, 2.5568385294453306], [1.581123219355214, 1.5461901320497182], [1.592858762328424, 1.689072118813002]]",1.7073306514228248,13,"[[2.1441189292404195, 1.1473828262455266], [0.8731598431473083, 0.6022236934102911], [1.7077945470250226, 0.8534169534492478]]",0.6476617291579126,2,"[0.5752264426525404, 1.5474745898736114e-190]","[0.438375437454099, 3.878626590836504e-102]"
matthew,"[[2.185323992052905, 3.4871806502288947], [1.768682405283871, 3.218779578633388], [0.949509062940798, 0.8737471299669155]]",1.4863416708955826,1,"[[1.0897790383423922, 1.9959565425958194], [0.45642426371529493, 1.7439523062534765], [0.9380725542906064, 0.6829944643511987]]",1.5224780702746386,6,"[[1.1120926888546783, 1.3581251511162082], [0.7224124614540114, 0.8306871175153915], [0.7327163962611879, 0.8658317813678252]]",0.7252829899867793,6,"[[2.0669285734196787, 2.5362942281776526], [1.4913457933461733, 2.0734396126985812], [1.1334477770616582, 1.0428518389774526]]",1.4830401065103878,7,"[[1.2014441773578188, 2.2322976885322507], [0.6728651478817373, 1.8807738171090815], [0.8483936964651241, 0.8962277607186373]]",1.4750202075497554,12,"[[4.031670795288168, 4.2496412341708645], [3.397481804790776, 3.8977001471537713], [1.495924166821511, 1.1764315229403022]]",2.3582085852911074,16,"[0.22771895048897062, 1.2819410433908769e-26]","[0.3612993378302568, 4.12186951960759e-67]"
osmar,"[[2.663773531542792, 2.451707290105944], [2.000331176704211, 1.1551422628542918], [1.4630153514244901, 1.8901827742410242]]",1.2916324267391956,0,"[[1.9211416094501699, 1.648312672554308], [1.178428582200954, 1.0497669017802884], [1.2994888284539765, 1.0746775518014662]]",1.1897877363998035,0,"[[1.4177248402521105, 1.4209420444381637], [0.9690848278876352, 0.7592848839145695], [0.9018904405346301, 1.0647021304756346]]",0.9608694737239601,5,"[[4.162371259547015, 3.9813142732166247], [3.265350555309095, 2.917325819542104], [2.017905087608506, 2.091023947725824]]",2.4049477219483304,15,"[[1.6872267785302337, 1.7617513044540984], [1.0802279677157232, 1.066386200253089], [1.0924577907196233, 1.177194279933583]]",1.0884861374283108,7,"[[2.784780300613598, 1.9676726483489564], [1.9322134761723706, 0.873751479868738], [1.7768888100332385, 1.6090556540954295]]",1.0667277585685522,0,"[0.19968858733197387, 7.264579597788441e-21]","[0.5303110655323204, 5.894974730789341e-157]"
pakhi,"[[1.3070796699720946, 1.673431054517764], [0.34361450639868213, 0.6248778809457831], [1.2146161014390817, 1.4059869502413185]]",0.966899628369377,3,"[[1.2239478459996644, 2.750839991946834], [1.0202277596787643, 1.253637718438678], [0.5449781406434732, 2.367092912033614]]",2.103726392303926,0,"[[0.7878809696232977, 2.6233047569262875], [0.5060607037301216, 0.7862606499884842], [0.4948776599497488, 2.3599051203963812]]",1.499994580425521,5,"[[1.727873719637034, 2.740399356857383], [0.8384557593336281, 1.0524100048778713], [1.3497795444337133, 2.2499324676301136]]",1.5374154586295914,7,"[[0.9528833206599957, 2.790325944633575], [0.5624043489179763, 0.6761454113536957], [0.6465119401127918, 2.6160317960597848]]",1.6843038267793342,8,"[[1.9061459383584611, 3.4622994668884393], [0.9282530499664583, 0.7512012495477759], [1.565501354301093, 3.2769085757521337]]",1.940981161365972,0,"[0.5770130245536444, 5.551000547628078e-192]","[0.288802757401247, 9.131590167863978e-43]"
prasad,"[[1.3229758141123193, 0.9250824017546486], [0.48581856181459554, 0.5951862140460588], [1.1851463811104421, 0.6150581653102561]]",0.5271338951284938,3,"[[2.7963812038646974, 1.9076899553434579], [0.7733385898724481, 0.832860481591915], [2.659635320670271, 1.6479650405591495]]",1.4821144567185642,0,"[[0.8070814161995213, 1.742375811736844], [0.3560805681666757, 0.5152821068910843], [0.6583610815376466, 1.5876369316313501]]",1.1727252582713792,6,"[[2.434552765522335, 2.106539478579187], [1.3363788417280646, 1.3827726839223573], [1.7516402125129946, 1.2887927868284883]]",0.8261974866189895,10,"[[1.820495035459623, 2.161170805951419], [0.9338763653814844, 0.9948737585250368], [1.3796004510295872, 1.7084334808627004]]",1.3457493143903319,5,"[[2.9941662727124485, 2.417552829358379], [1.1334727623673369, 1.17090666944146], [2.652887182872471, 1.9609324613425032]]",1.3892145445408328,16,"[-0.17810139155524218, 9.700939442097488e-17]","[0.06750991229400911, 0.0017619158749189166]"
